title,description,requirement,responsibilities,benefit,company,category,employment_type,experience_level,work_approach,ward,province,min_salary,max_salary,applied,view
Database Team Lead,"We are hiring a Database Team Lead to join our database engineering team in Hà Nội. You will design, build, and operate scalable data platforms using PostgreSQL. Our systems process billions of records and power core business operations.","- 7+ năm kinh nghiệm, trong đó có ít nhất 2 năm ở vị trí lead.
- Chuyên sâu PostgreSQL và hệ sinh thái xung quanh.
- Kinh nghiệm thiết kế kiến trúc dữ liệu cho hệ thống scale lớn.
- Khả năng lãnh đạo team 4-6 người, làm việc với stakeholders.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance review 2x/year, Clear career path, International projects",ShopSphere,Information Technology,Contract,Lead,Onsite,Kim Liên,Thành phố Hà Nội,3600,5400,79,914
Director of Database Engineering,"Join NextGen Software as a Director of Database Engineering working on Oracle-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Flexible working hours, WFH 3 days/week, Annual trip",NextGen Software,Information Technology,Hybrid,Director,Onsite,Kim Liên,Thành phố Hà Nội,6700,9700,48,975
Senior Database Engineer (Vietnam),"We are hiring a Senior Database Engineer (Vietnam) to join our database engineering team in Hà Nội. You will design, build, and operate scalable data platforms using MongoDB. Our systems process billions of records and power core business operations.","- 5+ năm kinh nghiệm database engineering với MongoDB.
- Chuyên sâu về sharding, replica sets, aggregation framework, schema design.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance review 2x/year, Clear career path, International projects",ShopSphere,Information Technology,Full-time,Senior,Onsite,Đống Đa,Thành phố Hà Nội,2700,4100,35,700
Junior PostgreSQL Engineer,"NextGen Software mở rộng team database và cần một Junior PostgreSQL Engineer giàu kinh nghiệm về Big Data. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Big Data.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Premium health insurance, English class, Book allowance",NextGen Software,Information Technology,Part-time,Junior,Remote,Vĩnh Tuy,Thành phố Hà Nội,800,1600,5,276
Junior PostgreSQL Engineer,"ChainWorks đang tìm kiếm một Junior PostgreSQL Engineer để gia nhập đội ngũ kỹ thuật tại Hà Nội. Bạn sẽ làm việc với PostgreSQL và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",ChainWorks,Information Technology,Hybrid,Junior,Remote,Định Công,Thành phố Hà Nội,1200,1300,25,611
Lead ETL Engineer,"NextGen Software đang tìm kiếm một Lead ETL Engineer để gia nhập đội ngũ kỹ thuật tại Hà Nội. Bạn sẽ làm việc với Redis và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 7+ năm kinh nghiệm, trong đó có ít nhất 2 năm ở vị trí lead.
- Chuyên sâu Redis và hệ sinh thái xung quanh.
- Kinh nghiệm thiết kế kiến trúc dữ liệu cho hệ thống scale lớn.
- Khả năng lãnh đạo team 4-6 người, làm việc với stakeholders.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Redis.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Hybrid working, 14 days annual leave, Free snacks & coffee",NextGen Software,Information Technology,Remote,Lead,Remote,Tương Mai,Thành phố Hà Nội,3500,5200,12,1410
Director of Data Engineering (Vietnam),"NextGen Software đang tìm kiếm một Director of Data Engineering (Vietnam) để gia nhập đội ngũ kỹ thuật tại Hà Nội. Bạn sẽ làm việc với MySQL và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MySQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",NextGen Software,Information Technology,Full-time,Director,Remote,Tương Mai,Thành phố Hà Nội,6200,8900,80,734
Database Developer (Middle),"Join ShopSphere as a Database Developer (Middle) working on Oracle-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo PL/SQL, RAC, Data Guard, performance tuning, RMAN.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Flexible working hours, WFH 3 days/week, Annual trip",ShopSphere,Information Technology,Remote,Middle,Remote,Tương Mai,Thành phố Hà Nội,1600,2500,2,784
Senior SQL Developer,"ShopSphere mở rộng team database và cần một Senior SQL Developer giàu kinh nghiệm về Oracle. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 5+ năm kinh nghiệm database engineering với Oracle.
- Chuyên sâu về PL/SQL, RAC, Data Guard, performance tuning, RMAN.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance review 2x/year, Clear career path, International projects",ShopSphere,Information Technology,Part-time,Senior,Onsite,Phương Liệt,Thành phố Hà Nội,2900,4300,72,341
Junior NoSQL Developer,"NextGen Software is looking for a Junior NoSQL Developer based in Hà Nội to strengthen our data platform. You will work on PostgreSQL, focusing on advanced SQL, indexing, query optimization, replication, partitioning for production-grade systems.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng PostgreSQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","13th month salary, Health insurance, Annual leave 12+ days",NextGen Software,Information Technology,Full-time,Junior,Remote,Khương Đình,Thành phố Hà Nội,1200,1300,43,1498
Senior MySQL DBA,"MediTech Global mở rộng team database và cần một Senior MySQL DBA giàu kinh nghiệm về Big Data. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 5+ năm kinh nghiệm database engineering với Big Data.
- Chuyên sâu về Spark, Hadoop, Kafka, Airflow, data lake architectures.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Big Data.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",MediTech Global,Information Technology,Hybrid,Senior,Onsite,Thanh Xuân,Thành phố Hà Nội,2600,4200,21,471
Middle Data Engineer,"We are hiring a Middle Data Engineer to join our database engineering team in Hà Nội. You will design, build, and operate scalable data platforms using Database DevOps. Our systems process billions of records and power core business operations.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo Flyway/Liquibase, CI/CD, containerized DBs, monitoring.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Database DevOps.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Flexible working hours, WFH 3 days/week, Annual trip",EduSmart,Information Technology,Full-time,Middle,Remote,Phú Diễn,Thành phố Hà Nội,1700,3000,62,1229
Middle ETL Developer,"FinCore Tech đang tìm kiếm một Middle ETL Developer để gia nhập đội ngũ kỹ thuật tại Hà Nội. Bạn sẽ làm việc với Database DevOps và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo Flyway/Liquibase, CI/CD, containerized DBs, monitoring.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Database DevOps.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Remote-friendly, Flexible hours, Meal allowance 1.5M VND",FinCore Tech,Information Technology,Internship,Middle,Remote,Tây Mỗ,Thành phố Hà Nội,1500,2600,52,892
Senior Database Engineer (Vietnam),"FinCore Tech mở rộng team database và cần một Senior Database Engineer (Vietnam) giàu kinh nghiệm về MySQL. Bạn sẽ đóng vai trò chủ chốt trong việc thiết kế schema, tối ưu truy vấn và đảm bảo độ tin cậy của các hệ thống dữ liệu quan trọng.","- 5+ năm kinh nghiệm database engineering với MySQL.
- Chuyên sâu về schema design, performance tuning, backup/recovery, replication.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MySQL.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance review 2x/year, Clear career path, International projects",FinCore Tech,Information Technology,Full-time,Senior,Onsite,Tây Mỗ,Thành phố Hà Nội,2800,3800,54,395
